Year,Region,LDZ area,Credit: Average variable unit price (£/kWh)[Note 1],Credit: Average fixed cost (£/year)[Note 2],Direct debit: Average variable unit price (£/kWh)[Note 1],Direct debit: Average fixed cost (£/year)[Note 2],Prepayment: Average variable unit price (£/kWh)[Note 1],Prepayment: Average fixed cost (£/year)[Note 2],Overall: Average variable unit price (£/kWh)[Note 1],Overall: Average fixed cost (£/year)[Note 2]
2015,Aberdeen,Northern Scotland ,0.0432,97.86,0.0391,79.35,0.0435,99.14,0.0407,86.72
2015,Birmingham,West Midlands,0.0441,97.37,0.0397,79.93,0.0443,98.21,0.0415,86.94
2015,Canterbury,South East,0.0452,96.52,0.0413,83.37,0.0452,96.83,0.0435,90.87
2015,Cardiff,South Wales,0.0440,96.62,0.0399,82.26,0.0441,97.03,0.0418,88.72
2015,Edinburgh,Southern Scotland,0.0431,97.77,0.0391,78.64,0.0434,98.54,0.0408,86.48
2015,Ipswich,Eastern,0.0438,97.17,0.0407,75.56,0.0436,98.75,0.0419,84.64
2015,Leeds,Yorkshire,0.0437,97.37,0.0394,81.34,0.0439,98.46,0.0413,88.37
2015,Liverpool,Merseyside & North Wales,0.0448,96.55,0.0406,82.08,0.0448,97.49,0.0421,87.50
2015,London,London,0.0438,95.83,0.0398,82.99,0.0436,96.92,0.0415,88.61
2015,Manchester,North West,0.0442,97.67,0.0413,74.91,0.0440,99.36,0.0426,85.34
2015,Newcastle,North East,0.0436,96.68,0.0403,81.61,0.0437,97.59,0.0416,87.48
2015,Nottingham,East Midlands,0.0455,96.63,0.0416,78.10,0.0454,98.01,0.0430,84.60
2015,Plymouth,South West,0.0443,97.27,0.0396,79.33,0.0443,98.41,0.0416,87.24
2015,Southampton,Southern,0.0437,97.74,0.0388,78.85,0.0440,98.70,0.0410,87.11
2015,United Kingdom,United Kingdom,0.0442,97.07,0.0400,80.10,0.0442,98.05,0.0417,87.29
2016,Aberdeen,Northern Scotland ,0.0396,97.67,0.0347,78.17,0.0402,98.81,0.0365,85.45
2016,Birmingham,West Midlands,0.0404,97.06,0.0355,79.05,0.0410,98.30,0.0374,86.00
2016,Canterbury,South East,0.0411,96.31,0.0369,82.98,0.0416,96.78,0.0393,90.38
2016,Cardiff,South Wales,0.0403,96.22,0.0353,81.68,0.0409,96.95,0.0375,87.92
2016,Edinburgh,Southern Scotland,0.0397,97.23,0.0348,77.60,0.0406,98.37,0.0368,85.25
2016,Ipswich,Eastern,0.0402,97.04,0.0358,76.69,0.0405,98.60,0.0376,85.00
2016,Leeds,Yorkshire,0.0401,97.03,0.0348,80.55,0.0407,98.32,0.0370,87.42
2016,Liverpool,Merseyside & North Wales,0.0410,96.33,0.0364,81.31,0.0417,97.36,0.0381,86.66
2016,London,London,0.0400,95.53,0.0354,81.53,0.0404,96.77,0.0373,87.35
2016,Manchester,North West,0.0407,97.56,0.0370,75.40,0.0411,99.12,0.0386,84.86
2016,Newcastle,North East,0.0404,96.43,0.0363,81.03,0.0410,97.39,0.0379,86.73
2016,Nottingham,East Midlands,0.0419,96.42,0.0371,77.11,0.0423,97.85,0.0387,83.51
2016,Plymouth,South West,0.0403,96.97,0.0352,78.34,0.0408,98.27,0.0374,86.14
2016,Southampton,Southern,0.0394,97.36,0.0341,78.48,0.0402,98.53,0.0364,86.32
2016,United Kingdom,United Kingdom,0.0404,96.79,0.0356,79.32,0.0409,97.91,0.0376,86.36
2017,Aberdeen,Northern Scotland ,0.0390,98.17,0.0345,78.34,0.0350,97.83,0.0355,85.24
2017,Birmingham,West Midlands,0.0398,97.55,0.0352,80.02,0.0355,97.61,0.0362,86.19
2017,Canterbury,South East,0.0404,96.88,0.0367,83.40,0.0363,97.33,0.0378,90.48
2017,Cardiff,South Wales,0.0399,96.29,0.0354,81.35,0.0356,97.39,0.0363,87.83
2017,Edinburgh,Southern Scotland,0.0390,97.85,0.0346,78.55,0.0350,98.23,0.0355,86.42
2017,Ipswich,Eastern,0.0395,97.30,0.0357,77.23,0.0354,98.31,0.0364,85.01
2017,Leeds,Yorkshire,0.0395,97.43,0.0348,79.96,0.0356,97.82,0.0360,87.14
2017,Liverpool,Merseyside & North Wales,0.0403,96.81,0.0363,80.91,0.0362,97.65,0.0371,86.26
2017,London,London,0.0395,95.38,0.0350,80.95,0.0352,97.42,0.0359,87.08
2017,Manchester,North West,0.0398,97.86,0.0363,75.40,0.0359,98.62,0.0370,84.72
2017,Newcastle,North East,0.0399,96.97,0.0364,80.60,0.0363,97.61,0.0371,86.30
2017,Nottingham,East Midlands,0.0412,96.74,0.0369,77.28,0.0366,98.00,0.0377,83.33
2017,Plymouth,South West,0.0395,97.49,0.0348,79.20,0.0355,97.86,0.0360,86.43
2017,Southampton,Southern,0.0386,98.04,0.0337,79.21,0.0350,98.05,0.0350,86.71
2017,United Kingdom,United Kingdom,0.0398,97.22,0.0354,79.53,0.0356,97.79,0.0364,86.37
2018,East Midlands,East Midlands,0.0396,109.92,0.0359,78.93,0.0343,95.55,0.0364,86.54
2018,Eastern,Eastern,0.0404,110.27,0.0365,80.77,0.0347,97.24,0.0370,88.36
2018,London,London,0.0415,109.46,0.0385,83.43,0.0358,99.82,0.0388,93.75
2018,Merseyside & North Wales,Merseyside & North Wales,0.0403,108.41,0.0369,80.73,0.0350,94.05,0.0371,88.21
2018,North East,North East,0.0391,107.70,0.0353,79.12,0.0342,90.26,0.0357,85.89
2018,North Scotland,North Scotland,0.0399,108.44,0.0372,76.13,0.0346,100.84,0.0373,86.00
2018,North West,North West,0.0401,109.54,0.0361,81.14,0.0350,94.29,0.0366,88.42
2018,South East,South East,0.0414,108.14,0.0378,82.31,0.0359,95.50,0.0382,88.19
2018,South Scotland,South Scotland,0.0402,106.89,0.0364,81.45,0.0345,95.05,0.0368,88.43
2018,South Wales,South Wales,0.0399,108.23,0.0373,75.51,0.0349,94.56,0.0373,84.78
2018,South West,South West,0.0409,109.26,0.0380,81.03,0.0360,95.82,0.0382,87.77
2018,Southern,Southern,0.0419,108.85,0.0382,77.67,0.0363,95.83,0.0387,84.58
2018,West Midlands,West Midlands,0.0401,108.98,0.0363,79.13,0.0350,95.51,0.0368,87.16
2018,Yorkshire,Yorkshire,0.0391,109.43,0.0352,79.59,0.0342,93.51,0.0357,87.32
2018,United Kingdom,United Kingdom,0.0404,109.02,0.0368,80.00,0.0350,95.33,0.0372,87.63
2019,East Midlands,East Midlands,0.0392,110.65,0.0359,89.41,0.0375,111.18,0.0367,95.74
2019,Eastern,Eastern,0.0397,111.12,0.0364,90.10,0.0380,111.16,0.0372,96.64
2019,London,London,0.0413,111.04,0.0384,90.51,0.0394,111.13,0.0394,100.13
2019,Merseyside & North Wales,Merseyside & North Wales,0.0404,110.14,0.0372,87.58,0.0385,111.18,0.0380,95.83
2019,North East,North East,0.0391,109.82,0.0358,87.79,0.0376,111.06,0.0367,95.03
2019,North Scotland,North Scotland,0.0396,111.97,0.0367,89.59,0.0378,111.37,0.0374,97.44
2019,North West,North West,0.0400,110.37,0.0367,88.98,0.0383,111.17,0.0375,96.52
2019,South East,South East,0.0413,110.68,0.0379,90.47,0.0394,111.01,0.0387,96.25
2019,South Scotland,South Scotland,0.0397,109.88,0.0366,89.53,0.0378,111.21,0.0374,96.89
2019,South Wales,South Wales,0.0402,111.28,0.0369,87.94,0.0386,110.26,0.0378,95.88
2019,South West,South West,0.0421,110.64,0.0387,88.97,0.0404,109.45,0.0395,95.10
2019,Southern,Southern,0.0420,111.48,0.0382,88.98,0.0402,109.53,0.0390,94.67
2019,West Midlands,West Midlands,0.0405,110.40,0.0367,88.07,0.0388,109.37,0.0377,95.15
2019,Yorkshire,Yorkshire,0.0394,110.41,0.0358,87.80,0.0380,109.42,0.0367,94.92
2019,United Kingdom,United Kingdom,0.0403,110.69,0.0369,89.08,0.0385,110.65,0.0378,96.12
2020,East Midlands,East Midlands,0.0378,111.34,0.0332,88.55,0.0350,129.86,0.0342,97.20
2020,Eastern,Eastern,0.0381,110.86,0.0337,88.96,0.0357,128.77,0.0348,97.74
2020,London,London,0.0402,111.44,0.0363,89.48,0.0377,128.74,0.0376,103.01
2020,Merseyside & North Wales,Merseyside & North Wales,0.0392,110.90,0.0349,87.26,0.0367,127.76,0.0360,98.59
2020,North East,North East,0.0377,110.72,0.0336,87.21,0.0346,133.94,0.0344,98.05
2020,North Scotland,North Scotland,0.0377,114.20,0.0341,91.71,0.0352,131.19,0.0350,101.99
2020,North West,North West,0.0389,110.75,0.0343,87.98,0.0356,132.37,0.0353,99.31
2020,South East,South East,0.0398,111.60,0.0355,90.47,0.0369,131.50,0.0364,98.54
2020,South Scotland,South Scotland,0.0383,111.67,0.0343,90.55,0.0357,129.97,0.0353,100.81
2020,South Wales,South Wales,0.0378,113.74,0.0342,89.02,0.0348,132.79,0.0350,100.65
2020,South West,South West,0.0408,111.50,0.0364,88.22,0.0378,130.59,0.0373,97.12
2020,Southern,Southern,0.0402,113.01,0.0359,89.59,0.0372,130.84,0.0368,97.49
2020,West Midlands,West Midlands,0.0385,110.25,0.0342,86.92,0.0359,129.24,0.0352,97.41
2020,Yorkshire,Yorkshire,0.0374,109.97,0.0333,86.20,0.0349,131.08,0.0342,97.04
2020,United Kingdom,United Kingdom,0.0388,111.34,0.0345,88.60,0.0360,130.42,0.0355,98.59
2021,East Midlands,East Midlands,0.0352,110.32,0.0325,90.51,0.0319,130.99,0.0328,98.29
2021,Eastern,Eastern,0.0360,110.83,0.0331,90.99,0.0325,130.99,0.0335,98.75
2021,London,London,0.0373,110.50,0.0348,91.14,0.0339,130.97,0.0353,103.67
2021,Merseyside & North Wales,Merseyside & North Wales,0.0362,110.07,0.0338,90.14,0.0329,131.02,0.0340,100.73
2021,North East,North East,0.0351,109.57,0.0325,91.17,0.0317,131.16,0.0327,100.56
2021,North Scotland,North Scotland,0.0360,112.94,0.0335,92.79,0.0329,130.88,0.0338,101.69
2021,North West,North West,0.0360,109.71,0.0333,90.19,0.0325,131.16,0.0336,100.46
2021,South East,South East,0.0366,110.38,0.0340,91.08,0.0331,130.82,0.0343,98.41
2021,South Scotland,South Scotland,0.0358,110.83,0.0334,92.94,0.0326,131.17,0.0337,101.98
2021,South Wales,South Wales,0.0368,112.31,0.0343,90.60,0.0334,130.81,0.0345,100.70
2021,South West,South West,0.0376,110.34,0.0349,90.02,0.0339,130.77,0.0352,97.83
2021,Southern,Southern,0.0375,111.81,0.0349,90.83,0.0340,130.88,0.0352,97.62
2021,West Midlands,West Midlands,0.0360,110.51,0.0334,90.41,0.0327,131.01,0.0337,99.63
2021,Yorkshire,Yorkshire,0.0352,109.89,0.0326,90.26,0.0319,131.15,0.0329,99.85
2021,United Kingdom,United Kingdom,0.0362,109.78,0.0338,90.57,0.0338,127.25,0.0342,99.00
2022,East Midlands,East Midlands,0.0827,116.36,0.0712,100.89,0.0799,119.91,0.0740,105.46
2022,Eastern,Eastern,0.0848,116.88,0.0724,100.53,0.0817,123.04,0.0755,105.70
2022,London,London,0.0876,116.81,0.0744,100.34,0.0850,128.17,0.0797,109.54
2022,Merseyside & North Wales,Merseyside & North Wales,0.0851,115.92,0.0737,99.45,0.0819,116.81,0.0769,105.01
2022,North East,North East,0.0810,115.19,0.0693,101.04,0.0763,109.51,0.0722,104.52
2022,North Scotland,North Scotland,0.0828,117.26,0.0707,99.47,0.0794,125.65,0.0742,106.57
2022,North West,North West,0.0843,115.86,0.0726,99.89,0.0803,116.85,0.0757,105.18
2022,South East,South East,0.0840,116.41,0.0731,98.73,0.0805,119.94,0.0756,103.67
2022,South Scotland,South Scotland,0.0840,116.25,0.0716,99.98,0.0792,116.67,0.0748,105.15
2022,South Wales,South Wales,0.0850,117.11,0.0748,98.40,0.0787,120.22,0.0771,104.90
2022,South West,South West,0.0851,116.25,0.0739,98.92,0.0815,120.70,0.0764,103.89
2022,Southern,Southern,0.0862,117.23,0.0744,99.29,0.0819,121.42,0.0769,103.89
2022,West Midlands,West Midlands,0.0846,116.37,0.0720,99.89,0.0814,120.54,0.0754,105.44
2022,Yorkshire,Yorkshire,0.0833,115.79,0.0710,100.61,0.0803,116.03,0.0745,105.50
2022,United Kingdom,United Kingdom,0.0845,116.42,0.0725,99.93,0.0807,119.39,0.0756,105.27
2023 r,East Midlands,East Midlands,0.0906,117.87,0.0838,104.13,0.0895,131.79,0.0858,110.19
2023 r,Eastern,Eastern,0.0929,118.11,0.0844,103.76,0.0902,130.46,0.0869,109.94
2023 r,London,London,0.0966,122.12,0.0870,100.75,0.0910,126.63,0.0907,112.28
2023 r,Merseyside & North Wales,Merseyside & North Wales,0.0933,119.83,0.0862,104.14,0.0907,132.52,0.0884,112.89
2023 r,North East,North East,0.0899,118.72,0.0841,103.14,0.0899,131.16,0.0863,111.16
2023 r,North Scotland,North Scotland,0.0911,120.64,0.0832,102.67,0.0866,130.80,0.0853,110.79
2023 r,North West,North West,0.0910,119.11,0.0847,103.05,0.0904,132.58,0.0870,111.52
2023 r,South East,South East,0.0933,116.61,0.0850,100.24,0.0902,127.98,0.0872,106.72
2023 r,South Scotland,South Scotland,0.0952,120.91,0.0863,103.83,0.0901,133.12,0.0888,112.24
2023 r,South Wales,South Wales,0.0942,118.75,0.0848,98.75,0.0891,131.19,0.0872,107.59
2023 r,South West,South West,0.0944,116.80,0.0891,99.68,0.0916,127.88,0.0903,105.74
2023 r,Southern,Southern,0.0958,118.19,0.0872,102.74,0.0901,130.87,0.0891,108.27
2023 r,West Midlands,West Midlands,0.0911,119.31,0.0846,103.21,0.0898,131.79,0.0867,110.87
2023 r,Yorkshire,Yorkshire,0.0916,118.25,0.0868,103.05,0.0903,132.23,0.0883,110.87
2023 r,United Kingdom,United Kingdom,0.0937,117.58,0.0857,102.34,0.0903,120.60,0.0880,108.29
2024 r,East Midlands,East Midlands,0.0666,126.91,0.0643,111.64,0.0613,115.40,0.0644,114.28
2024 r,Eastern,Eastern,0.0671,127.11,0.0651,111.61,0.0620,115.23,0.0651,114.44
2024 r,London,London,0.0696,127.12,0.0661,113.63,0.0629,117.73,0.0664,117.57
2024 r,Merseyside & North Wales,Merseyside & North Wales,0.0683,126.76,0.0657,112.35,0.0624,117.31,0.0655,115.27
2024 r,North East,North East,0.0675,126.49,0.0649,112.63,0.0627,116.49,0.0649,115.19
2024 r,North Scotland,North Scotland,0.0650,127.76,0.0631,111.15,0.0602,116.24,0.0631,114.45
2024 r,North West,North West,0.0676,126.69,0.0649,112.05,0.0620,116.65,0.0649,114.99
2024 r,South East,South East,0.0681,126.90,0.0647,110.57,0.0621,115.07,0.0650,113.42
2024 r,South Scotland,South Scotland,0.0680,127.13,0.0651,111.48,0.0620,116.80,0.0651,114.81
2024 r,South Wales,South Wales,0.0681,127.25,0.0663,111.50,0.0626,116.57,0.0660,114.51
2024 r,South West,South West,0.0702,126.71,0.0660,106.61,0.0654,114.96,0.0665,110.26
2024 r,Southern,Southern,0.0689,127.21,0.0647,108.79,0.0627,114.35,0.0652,111.80
2024 r,West Midlands,West Midlands,0.0681,126.37,0.0637,109.33,0.0618,116.17,0.0641,112.86
2024 r,Yorkshire,Yorkshire,0.0672,126.16,0.0634,109.39,0.0624,116.43,0.0638,113.03
2024 r,United Kingdom,United Kingdom,0.0689,125.18,0.0649,110.56,0.0639,111.17,0.0654,112.95
2025,East Midlands,East Midlands,0.0653,136.10,0.0620,112.48,0.0613,116.69,0.0624,116.34
2025,Eastern,Eastern,0.0664,136.36,0.0627,112.01,0.0625,117.02,0.0633,116.36
2025,London,London,0.0680,136.48,0.0645,114.93,0.0641,119.05,0.0653,120.86
2025,Merseyside & North Wales,Merseyside & North Wales,0.0663,136.18,0.0635,114.49,0.0627,119.89,0.0638,118.46
2025,North East,North East,0.0666,135.40,0.0631,114.02,0.0626,117.58,0.0635,117.64
2025,North Scotland,North Scotland,0.0665,137.44,0.0624,111.78,0.0621,118.48,0.0630,116.75
2025,North West,North West,0.0660,135.95,0.0628,113.83,0.0618,118.41,0.0632,117.85
2025,South East,South East,0.0663,135.85,0.0625,111.20,0.0618,116.26,0.0630,115.39
2025,South Scotland,South Scotland,0.0666,136.65,0.0631,114.34,0.0626,120.42,0.0636,118.84
2025,South Wales,South Wales,0.0689,136.63,0.0651,112.15,0.0642,118.28,0.0655,116.60
2025,South West,South West,0.0695,135.64,0.0659,110.49,0.0657,115.64,0.0664,114.52
2025,Southern,Southern,0.0677,136.90,0.0644,111.00,0.0640,116.42,0.0648,115.01
2025,West Midlands,West Midlands,0.0667,136.18,0.0631,113.49,0.0620,116.86,0.0635,117.41
2025,Yorkshire,Yorkshire,0.0662,135.73,0.0632,114.03,0.0626,118.03,0.0636,117.94
2025,United Kingdom,United Kingdom,0.0674,134.54,0.0635,112.42,0.0640,111.61,0.0642,115.82
